ИДИ	гл	повел	2	ед	1	
С	пред					
МIРОМЪ&	сущ	o	тв	ед	м	
НА	пред					
*ТИХФИНD,	сущ	a	вин	ед	ж	
И	союз					
К	пред					
МОЕИ	мест	м	дат	ед	ж	
ПDСТЫНИ	сущ	ja	дат	ед	ж	
ДО&СТИГНЕШИ	гл	изъяв	н/б	2	ед	2
ПDТЬ,	сущ	i	вин	ед	м	
И	союз					
ПО	пред					
СЕМЪ	мест	м	мест	ед	ср	
МЛТВА&МИ#	сущ	a	тв	мн	ж	
ПРЕЧ(с)ТЫR	прил	тв	род	ед	ж	
Б(Д)ЦЫ,	сущ	ja/a	род	ед	ж	
И	союз					
ПРП(Д)БНАГО	прил	тв	род	ед	м	
*КV&РIЛЛА	сущ	o	род	ед	м	
*Б+ЛОГО	прил	тв	род	ед	м	
ИСЦ+Л+ЕШИ	гл	изъяв	н/б	2	ед	3
W(Т)	пред					
СЕR	мест	м	род	ед	ж	
Z 63						
SЛЫR	прил	тв	род	ед	ж	
БОЛ+ЗНИ.	сущ	i	род	ед	ж	
КНЗЬ#	сущ	jo	им	ед	м	
ЖЕ	част					
ТОИ	мест	тв	им	ед	м	
ВО&СПРRНDВЪ	прич	jo	прош	им	ед	м
W(Т)	пред					
СНА	сущ	o	род	ед	м	+о
СВОЕГО,	мест	м	род	ед	м	
И	союз					
ПОВ+ДА&	гл	изъяв	аор гл	3	ед	
ВС+МЪ	мест	р/скл	дат	мн	м	
ПРЕДСТОRЩИ(М)	прич	м	наст	дат	мн	м
ТD	нар					
ЯВЛЕНIЕ	сущ	jo	вин	ед	ср	
БЫ&ВШЕЕ.	прич	м	прош	вин	ед	ср
И	союз					
СКОРW	нар					
ПОИДЕ	гл	изъяв	аор пр	3	ед	
В	пред					
ПDТЬ	сущ	i	вин	ед	м	
СВОИ&	мест	м	вин	ед	м	
СО	пред					
ОТРОКИ	сущ	o	тв	мн	м	
СВОИМИ,	мест	м	тв	мн	м	
И	союз					
ДОИДЕ	гл	изъяв	аор пр	3	ед	
ГРАДА&	сущ	o	род	ед	м	
*Б+ЛА	прил	o	род	ед	ср	
*ЕЗЕРА,	сущ	o	род	ед	ср	
И	союз					
ПОВЕЛ+	гл	изъяв	аор гл	3	ед	
ИСПЫТАТИ	инф					
О&	пред					
ПDСТЫНИ	сущ	ja	мест	ед	ж	
*КVРIЛЛА	сущ	o	род	ед	м	
*Б+ЛОГW.	прил	тв	род	ед	м	
МDЖIЕ&	сущ	jo/i	им	мн	м	
ЖЕ	част					
ГРАДА	сущ	o	род	ед	м	
ТОГW	мест	тв	род	ед	м	
ПОВ+ДАША	гл	изъяв	аор гл	3	мн	
ЕМD	мест	м	дат	ед	м	
О	пред					
ПD&СТЫНИ	сущ	ja	мест	ед	ж	
БЛЖЕННАГW#	прил	тв	род	ед	м	
*КVРIЛЛА,	сущ	o	род	ед	м	
ЯКО	союз					
НА&	пред					
*НОВОМЪ	прил	тв	мест	ед	ср	
*ЕЗЕР+,	сущ	o	мест	ед	ср	
W(Т)	пред					
ГРАДА,	сущ	o	род	ед	м	
Л#,	30					
ПОПРИ&ЩЬ.	сущ	jo	род	мн	ср	
КНЗЬ#	сущ	jo	им	ед	м	
ЖЕ	част					
ТОИ	мест	тв	им	ед	м	
СЛЫШАВЪ	прич	jo	прош	им	ед	м
СКО&РW	нар					
ВОСТА,	гл	изъяв	аор гл	3	ед	
И	союз					
ПОИДЕ	гл	изъяв	аор пр	3	ед	
КО	пред					
СТОМD#.	прил	тв	дат	ед	м	
И	союз					
ПРI&ИДЕ	гл	изъяв	аор пр	3	ед	
ВО	пред					
ОБИТЕЛЬ	сущ	i	вин	ед	ж	
СТАГW#	прил	тв	род	ед	м	
*КVРIЛЛА,	сущ	o	род	ед	м	
