РАДDЮЩЕСR	прич/в	jo/en	наст	им	мн	м
И	союз					
СЛА&ВRЩЕ	прич	jo/en	наст	им	мн	м
БГА#,	сущ	o	вин/род	ед	м	
И	союз					
ПРП(Д)БНАГО	прил	тв	вин/род	ед	м	
*КVРIЛЛА,&	сущ	o	вин/род	ед	м	
ЯКW	союз					
МЛТВАМИ#	сущ	a	тв	мн	ж	
ЕГW	мест	м	род	ед	м	
ИСЦ+ЛЕНIЕ	сущ	jo	вин	ед	ср	
W(Т)&	пред					
НЕДDГА,	сущ	o	род	ед	м	
РОЖДШЕМDСR	прич/в	м	прош	дат	ед	м
W(Т)	пред					
НИХЪ	мест	м	род	мн	м	
ПРIR(с)ТА.&	гл	изъяв	аор гл	3	дв	
ЧЮДО,	сущ	es	им	ед	ср	
SI#,	16					
ПРП(Д)БНАГW	прил	тв	род	ед	м	
*КVРIЛЛА,&	сущ	o	род	ед	м	
W	пред					
ИЗСТDПИВШЕМЪ	прич	м	прош	мест	ед	м
UМА	сущ	o	род	ед	м	
ЧЛЦ+#.&	сущ	o	мест	ед	м	*
ДОБРW	прил	o	им	ед	ср	
ЕСТЬ	гл	изъяв	н/б	3	ед	5
ЧЛКОЛЮБIЕ#	сущ	jo	вин	ед	ср	
БЖIЕ#,	прил	jo	вин	ед	ср	
И	союз					
ЧЮ&ДЕСА	сущ	es	вин	мн	ср	
СТЫХЪ#	прил	тв	род	мн	м	
UГОДИВШИ(Х)	прич	м	прош	род	мн	м
ЕМD	мест	м	дат	ед	м	
ВО&СПОМИНАТИ	инф					
ПР(с)НW.	нар					
СЕГW	мест	м	род	ед	ср	
РАДИ,	посл					
И	союз					
СIЕ&	мест	м	вин	ед	ср	
ПРЕСЛАВНОЕ	прил	тв	вин	ед	ср	
НОВОЕ	прил	тв	вин	ед	ср	
ЧЮДW,	сущ	es	вин	ед	ср	
СБЫВШЕ&ЕСR	прич/в	м	прош	вин	ед	ср
В	пред					
ПОСЛ+ДНИ(Х)	прил	м	мест	мн	ср	
ВРЕМЕНЕХЪ,	сущ	men	мест	мн	ср	
W(Т)	пред					
БЛЖЕ&ННАГW#	прил	тв	род	ед	м	
И	союз					
ПРП(Д)БНАГО	прил	тв	род	ед	м	
ОЦА#	сущ	jo	род	ед	м	
НАШЕ(г)	мест	м	род	ед	м	
*КVРI(л)ЛА,	сущ	o	род	ед	м	
Z -102						
ЕЖЕ	мест	м	вин	ед	ср	
И	союз					
ОЧИ	сущ	es/i	им	дв	ср	
НАШИ	мест	м	им	дв	ср	
ВИД+СТА,	гл	изъяв	аор гл	3	дв	
К	пред					
ДРЕВНИ(М)&	прил	м	дат	мн	ср	
ЕГW	мест	м	род	ед	м	
ПРЕСЛАВНЫ(М)	прил	тв	дат	мн	ср	
ЧЮДЕС+МЪ	сущ	es	дат	мн	ср	
ПРИПИ&СDЕМЪ	гл	изъяв	н/б	1	мн	3
И	союз					
ЯСНW	нар					
ПРОПОВ+ДDЕМЪ.	гл	изъяв	н/б	1	мн	3
НАЧА&ЛW	сущ	o	им	ед	ср	
ЖЕ	част					
ЧЮДЕСЕ	сущ	es	род	ед	ср	
СЕГW	мест	м	род	ед	ср	
СИЦЕ:	мест	р/скл	им	ед	ср	
ЧЛКЪ#	сущ	o	им	ед	м	
Н+&КIИ	мест	тв	им	ед	м	
ИМЕНЕМЪ	сущ	men	тв	ед	ср	
*ДАНIИЛЪ,	сущ	o	им	ед	м	
ПО	пред					
РЕКЛD	сущ	o	дат	ед	ср	
*ТЕ&КDТОВЪ,	прил	o	им	ед	м	
ЖИВЫИ	прич	м	прош	им	ед	м
ВО	пред					
ГРАД+	сущ	o	мест	ед	м	
*Б+Л+&	прил	o	мест	ед	ср	
*ЕЗЕР+.	сущ	o	мест	ед	ср	
СЛDЧИСR	гл/в	изъяв	аор гл	3	ед	
UБW	част					
ЕМD	мест	м	дат	ед	м	
W(Т)	пред					
МНО&ГАГW	прил	тв	род	ед	ср	
ПIRНСТВА	сущ	o	род	ед	ср	
ИЗСТDПИТИ	инф					
UМА,&	сущ	o	род	ед	м	
И	союз					
НАЧАТЪ	гл	изъяв	аор гл	3	ед	
НЕСМЫСЛЕНW	нар					
ГЛАТИ#,	инф					
И	союз					
ЛЮДИ&	сущ	i	вин	pt	м	
БIRШЕ.	гл	изъяв	имп	3	ед	
И	союз					
МНОГW	нар					
ЕМD	мест	м	дат	ед	м	
В	пред					
ТОМЪ	мест	тв	мест	ед	м	
НЕДD&З+	сущ	o	мест	ед	м	*
ТОМЛЕНD	прич	o	прош	дат	ед	м
БЫВШD.	прич	jo	прош	дат	ед	м
ВИД+ВШЕ	прич	jo/en	прош	им	мн	м
ЖЕ&	част					
ХР(с)ТОЛЮБИВIИ	прил	тв	им	мн	м	
ЛЮДIЕ	сущ	i	им	pt	м	
И	союз					
СРОДНИЦЫ	сущ	o	им	мн	м	*
ЕГО,&	мест	м	род	ед	м	
СЖАЛИШАСR	гл/в	изъяв	аор гл	3	мн	
W	пред					
НЕМЪ,	мест	м	мест	ед	м	
И	союз					
П(О)БОЛ+ША	гл	изъяв	аор гл	3	мн	
ДША&МИ#	сущ	ja	тв	мн	ж	
СВОИМИ	мест	м	тв	мн	ж	
W	пред					
ДШИ#	сущ	ja	мест	ед	ж	
ЕГW.	мест	м	род	ед	м	
И	союз					
ТАКW	нар					
