НА 	пред					
ПРИХОЖ(Д)ЕНIЕ 	сущ	jo	вин	ед	ср	
ПРАВОСЛА&ВНОМD 	прил	тв	дат	ед	ср	
ХР(с)ТIАНСТВD. 	сущ	o	дат	ед	ср	
ПОДРАЖАА 	прич	jo	наст	им	ед	м
ВСЕ&ЛЕНСКЫ(М) 	прил	тв	дат	мн	м	
UЧТЛЕМЪ# 	сущ	jo	дат	мн	м	
И 	союз					
АП(с)ЛОМЪ 	сущ	o	дат	мн	м	
*ХР(с)ТОВ+&МЪ. 	прил	o/jo	дат	мн	м	
ПРОПОВ+ДАА 	прич	jo	наст	м	ед	м
ПОКААНIЕ. 	сущ	jo	вин	ед	ср	
И 	союз					
UКРАСI 	гл	изъяв	аор гл	3	ед	
Ю& 	мест	м	вин	ед	ж	
ИКОНАМИ 	сущ	а	тв	мн	ж	
ЧЮДН+. 	нар					
И(Ж) 	союз					
И 	союз					
НН+# 	нар					
БЛГОДАТIЮ#& 	сущ	i	тв	ед	ж	
*ХРIСТОВОЮ 	прил	тв	тв	ед	ж	
UТВРЪЖЕНА 	прич	a	прош	им	ед	ж
ЕСТЬ:& 	гл	изъяв	н/б	3	ед	5
ПРIИДОША 	гл	изъяв	аор нов	3	мн	
ЖЕ 	част					
Н+КОГДА 	нар					
W(Т) 	пред					
ВЕСИ 	сущ	i	род	ед	ж	
ГЛЕМЫ#& 	прич	a	наст	род	ед	ж
*ДВИНИЦИ, 	сущ	ja/a	род	ед	ж	
ХР(с)ТОЛЮБИВИ 	прил	o	им	мн	м	
ЛЮ(ДИ)Е. 	сущ	i	им	pt	м	
МЛИ&ША# 	гл	изъяв	аор гл	3	мн	
СТГО# 	прил	тв	вин/род	ед	м	
ДА 	союз					
СЪSИЖЕТЬ 	гл	изъяв	н/б	3	ед	3
ИМЪ 	мест	м	дат	мн	м	
ЦРКВЬ#& 	сущ	uu	вин	ед	ж	
ВО 	пред					
ИМR 	сущ	men	вин	ед	ср	
СТГО# 	прил	тв	род	ед	м	
*НИКОЛЫ. 	сущ	a	род	ед	м	
ПРП(Д)БНЫИ 	прил	тв	им	ед	м	
ЖЕ& 	част					
ПОСЛDШАВЪ 	прич	jo	прош	им	ед	м
И(Х) 	мест	м	род	мн	м	
МОЛЕНIА 	сущ	jo	род	ед	ср	
СЪЗДА 	гл	изъяв	аор гл	3	ед	
И(М) 	мест	м	дат	мн	м	
ЦРКВЬ#& 	сущ	uu	вин	ед	ж	
И 	союз					
UКРАСI 	гл	изъяв	аор гл	3	ед	
Ю 	мест	м	вин	ед	ж	
ИКОНАМИ, 	сущ	a	тв	мн	ж	
RЖЕ 	мест	м	им	ед	ж	
БЛГОДАТIЮ#& 	сущ	i	тв	ед	ж	
*ХВОЮ# 	прил	тв	тв	ед	ж	
СIАЕ(т) 	гл	изъяв	н/б	3	ед	3
ЦРКВИ#. 	сущ	uu	мест	ед	ж	
В 	пред					
ТО 	мест	тв	вин	ед	ср	
(Ж) 	част					
ВРЕМR 	сущ	men	вин	ед	ср	
ЛЮДIЕ 	сущ	i	им	pt	м	
Z -45 						
ИМRШЕ 	гл	изъяв	имп	3	ед	
СТАГО#, 	прил	тв	вин/род	ед	м	
ЯКО 	союз					
СВ+ТИЛНИКА 	сущ	o	вин/род	ед	м	
СIА&Ю(ЩА) 	прич	jo	наст	вин/род	ед	м
В 	пред					
ТОИ 	мест	тв	мест	ед	ж	
СТРАН+; 	сущ	a	мест	ед	ж	
W 	пред					
АРХIЕП(с)П+ 	сущ	o	мест	ед	м	
*ЕФР+М+ 	сущ	o	мест	ед	м	
[ГРАДА 	сущ	o	род	ед	м	
*РОСТОВА;]&	сущ	o	род	ед	м	
СЪДРЪЖАИ 	прич	м	наст	им	ед	м
АП(с)ЛЬСКЫИ 	прил	тв	вин	ед	м	
ПР(с)ТЛЪ 	сущ	o	вин	ед	м	
ГРАДА 	сущ	o	род	ед	м	
*РО&СТОВА. 	сущ	o	род	ед	м	
АРХIЕП(с)ПЪ 	сущ	o	им	ед	м	
*ЕФР+МЪ. 	сущ	o	им	ед	м	
И 	союз					
В 	пред					
Н+КО&Е 	мест	тв	вин	ед	ср	
ВР+МR 	сущ	men	вин	ед	ср	
ПОДВИЖЕСR 	гл/в	изъяв	аор пр	3	ед	
ПОС+ЩЕНIА 	сущ	jo	род	ед	ср	
РА(ДИ) 	посл					
ДРЪ&ЖАВСТВА 	сущ	o	род	ед	ср	
