ДА	союз					
СЪВРЪШЕНИ	прич	o	прош	им	мн	м
БЫ&ВШЕ	прич	jo/en	прош	им	мн	м
ДОБРЫМИ	прил	тв	тв	мн	ср	
Д+ЛЫ,	сущ	o	тв	мн	ср	
НЕПОСТЫДНЫ&	прил	o	им/вин	мн	м	
ЯВRТСR	гл/в	изъяв	н/б	3	мн	4
НА	пред					
СU(ДИ)ЩИ	сущ	jo	мест	ед	ср	
*ХВ+#.	прил	o	мест	ед	ср	
И	союз					
ТЫ	мест	личн	2	им	ед	
РА(ДО)СТНО&	нар					
РЕ(ч)ШИ	гл	изъяв	н/б	2	ед	1
СЕ	част					
АЗЪ	мест	личн	1	им	ед	
И	союз					
Д+ТИ.	сущ	i	им	pt	м/ж	
ДА	союз					
ВЪЗДАНIЕ	сущ	jo	вин	ед	ср	
ПРI&ИМЕШИ	гл	изъяв	н/б	2	ед	1
W(Т)	пред					
ВЛ(Д)КЫ	сущ	a	род	ед	м	
*ХА#	сущ	o	род	ед	м	
В	пред					
БDДUЩIИ	прич	м	наст	вин	ед	м
В+КЪ.&	сущ	o	вин	ед	м	
ПРП(Д)БНЫИ	прил	тв	им	ед	м	
(Ж)	част					
РЕ(ч),	гл	изъяв	аор пр	3	ед	
ИЖЕ	мест	м	вин/им	мн	м	
ИЗБРА	гл	изъяв	аор гл	3	ед	
ГЬ#	сущ	i	им	ед	м	
НАШЪ	мест	м	им	ед	м	
~IС <*IС#>	сущ	o	им	ед	м	
*ХС#.&	сущ	о	им	ед	м	
ПОСЛА	гл	изъяв	аор гл	3	ед	
СВОА	мест	м	вин	мн	м	
UЧНКЫ#	сущ	o	вин	мн	м	
И	союз					
ПОСЛА	гл	изъяв	аор гл	3	ед	
И(Х)	мест	м	вин/род	мн	м	
В	пред					
ВЕ(с)	мест	р/скл	вин	ед	м	
МИРЪ&	сущ	o	вин	ед	м	
ОСВ+ТИТИ	инф					
МЕРСКАА,	прил	тв	вин	мн	ср	
ИЗВЕСТИ	инф					
ПРЕZ -49 ЛЬСТИВШАR.	прич	м	прош	вин	мн	ср
ТО(И)	мест	тв	им	ед	м	
И	союз					
ТЕБЕ	мест	личн	2	вин/род	ед	
ИЗБРА	гл	изъяв	аор гл	3	ед	
ПАСТD&ХА	сущ	o	вин/род	ед	м	
И	союз					
Ц+ЛИТЕЛR	сущ	jo	вин/род	ед	м	
ДОСТОИНА	прил	o	вин/род	ед	м	
СUЩА	прич	jo	наст	вин/род	ед	м
СЕА	мест	м	род	ед	ж	
ЧА&СТИ	сущ	i	род	ед	ж	
В	пред					
ЗЕМЛИ	сущ	ja	мест	ед	ж	
*РGС(с)Т+И.	прил	тв	мест	ед	ж	*
И	союз					
ТЫ	мест	личн	2	им	ед	
UЧНIЕМЪ#&	сущ	jo	тв	ед	ср	
И	союз					
ОБЛИЧЕНIЕМЪ	сущ	jo	тв	ед	ср	
И	союз					
ЗАПРЕЩЕНIЕМЪ,	сущ	jo	тв	ед	ср	
ПОДА&ВАЕШИ	гл	изъяв	н/б	2	ед	3
СПСОВЫ#	прил	a	вин	мн	ж	
БЖ(с)ТВЕНЫА	прил	тв	вин	мн	ж	
ЗАПОВ+ДИ.&	сущ	i	вин	мн	ж	
ПОДРАЖАА	прич	jo	наст	им	ед	м
ИСТИННАГО	прил	тв	род	ед	м	
И	союз					
ДОБРАГО	прил	тв	род	ед	м	
ПАСТЫ&РR	сущ	jo	род	ед	м	
*ХА#.	сущ	o	род	ед	м	
И(Ж)	мест	м	им	ед	м	
ДШU#	сущ	ja	вин	ед	ж	
СВОЮ	мест	м	вин	ед	ж	
ПОЛОЖИВЫ	прич	м	прош	им	ед	м
ЗА	пред					
ИЗБРА&ННЫА	прич	тв	прош	вин	мн	ж
ОВЦА;	сущ	ja	вин	мн	ж	
РЕ(ч)	гл	изъяв	аор пр	3	ед	
ЖЕ	част					
АРХIЕП(с)ПЪ&	сущ	o	им	ед	м	
ДХОВНЫИ#	прил	тв	зв/им	ед	м	
ЧА(ДО).	сущ	o	зв	ед	ср	
ЕЖЕ	мест	м	им	ед	ср	
W(Т)	пред					
ВСЕ(Х)	мест	р/скл	род	мн	м	
ВЛ(Д)КЫ&	сущ	a	род	ед	м	
БА#	сущ	o	род	ед	м	
