И	союз					
НЕ	част					
В+ДD&ЩУ	прич	jo	наст	дат	ед	м
ТОГО	мест	тв	род	ед	м	
НАПРАСНАГО	прил	тв	род	ед	м	
НЕДDГА,	сущ	о	род	ед	м	
И	союз					
ПОЛОЖИ&ША	гл	изъяв	аор гл	3	мн	
ЕГО	мест	м	вин/род	ед	м	
БЛИЗЪ	пред					
ГРОБА	сущ	о	род	ед	м	
ПРП(ДО)БНАГО.	прил	тв	род	ед	м	
И	союз					
ТАКО&	нар					
ИГDМЕНЪ	сущ	о	им	ед	м	
И	союз					
БРАТИА	сущ	ja	им	ед	ж	
НАЧАША	гл	изъяв	аор гл	3	мн	
МЛТВОВА&ТИ#	инф					
ЗА	пред					
КНЗR#,	сущ	jo	вин/род	ед	м	
КАНWНЪ	сущ	о	вин	ед	м	
П+ТИ	инф					
ЧЮ(ДО)ТВО&РЦD	сущ	jo	дат	ед	м	
СТМD#.	прил	тв	дат	ед	м	
ТОГДА	нар					
(Ж)	част					
ЧАСА	сущ	о	род	ед	м	
ТОГО	мест	тв	род	ед	м	
БЖIИ(М)#	прил	м	тв	ед	ср	
ПО&С+ЩЕНИЕ(М)	сущ	jo	тв	ед	ср	
СКОРЫМЪ.	прил	тв	тв	ед	ср	
И	союз					
МЛТВОЮ#	сущ	а	тв	ед	ж	
ПРП(ДО)БЪ&НАГО	прил	тв	род	ед	м	
*ДМИТРИА.	сущ	jo	род	ед	м	
МАЛО	нар					
ЕМD	мест	м	дат	ед	м	
ВЪСКЛОНИ&ВШDСR,	прич/в	jo	прош	дат	ед	м
И	союз					
ПОС+Д+	гл	изъяв	аор гл	3	ед	
U	пред					
ГРОБА	сущ	о	род	ед	м	
ТОГО,	мест	тв	род	ед	м	
ПРIИ&ДЕ	гл	изъяв	аор пр	3	ед	
ВЪ	пред					
UМЪ	сущ	о	вин	ед	м	
СВОИ,	мест	м	вин	ед	м	
МОЛRСR	прич/в	jo	наст	им	ед	м
БГU#.	сущ	о	дат	ед	м	
И	союз					
КАЯ&СR	прич/в	jo	наст	им	ед	м
ГР+ХОВЪ	сущ	о/u	род	мн	м	
СВОИ(Х).	мест	м	род	мн	м	
ДОНД+ЖЕ	союз					
МОЛЕНIR&	сущ	jo	им	мн	ср	
W	пред					
НЕМЪ	мест	м	мест	ед	м	
СВЕРШИШАСR.	гл/в	изъяв	аор гл	3	мн	
ПО	пред					
СЕМЪ	мест	м	мест	ед	ср	
ПОИДЕ&	гл	изъяв	аор пр	3	ед	
ИЗ	пред					
ЦРКВ+#,	сущ	uu	род	ед	ж	
НА	пред					
НОГА(Х)	сущ	а	мест	мн	ж	
СВОИ(Х)	мест	м	мест	мн	ж	
ПОДРЪЖИ(М)	прич	o	наст	им	ед	м
Б+&	гл	изъяв	а/имп	3	ед	
СЛDГАМИ,	сущ	а	тв	мн	м	
И	союз					
ТАКО	нар					
ВЪ	пред					
UТР+И	прил	jo	вин	ед	м	
ДНЬ#,	сущ	en	вин	ед	м	
ТА&КО(Ж)	нар					
ПРIИДЕ	гл	изъяв	аор пр	3	ед	
ВЪ	пред					
ЦРКВЬ#.	сущ	uu	вин	ед	ж	
ПРIПАДАR	прич	jo	наст	им	ед	м
К	пред					
ГРОБD&	сущ	о	дат	ед	м	
ПРП(ДО)БНАГО.	прил	тв	род	ед	м	
И	союз					
МЛ(с)ТIЮ	сущ	i	тв	ед	ж	
СПСА#	сущ	o	род	ед	м	
*ХА#,	сущ	o	род	ед	м	
И	союз					
ЧЛКО&ЛЮБИЕМЪ#	сущ	jo	тв	ед	ср	
ЕГW,	мест	м	род	ед	м	
ЗДРАВИЕ	сущ	jo	вин	ед	ср	
СВЕРШЕНО	прил	o	вин	ед	ср	
ПО&ЛDЧИВЪ.	прич	jo	прош	им	ед	м
