M(с)ЦA	сущ	jo	род	ед	м	
MAИR 	сущ	jo	род	ед	м	-и
BЪ 	пред					
FI#	19			 		
ЖИTIE&	сущ	jo	им	ед	ср	 
И 	союз					
ПO(Д)BИSИ	сущ	o	им	мн	м	*
ПPП(Д)БHAГO	прил	тв	род	ед	м	 
W(Т)ЦA# 	сущ	jo	род	ед	м	
HA&ШEГO# 	мест	м	род	ед	м	
*KWPHИЛIA 	сущ	jo	род	ед	м	
. 						
HOBAГO 	прил	тв	род	ед	м	
ЧЮ(ДO)&TBOPЦA	сущ	jo	род	ед	м	
PDCKAГO 	прил	тв	род	ед	м	
ГPAДA 	сущ	o	род	ед	м	
*BO&ЛOГДЫ 	сущ	a	род	ед	ж	
B 	пред					
ПPEД+ЛE(X) 	сущ	o	мест	мн	м	
. 						
ИЖE 	союз					
HA& 	пред					
*KOMEЛЬCKO(M) 	прил	тв	мест	ед	м	
Л+CD 	сущ	o/u	мест	ед	м	
. 						
ПPEЧ(с)THЫ(И)& 	прил	тв	вин	ед	м	
MOHA(с)TЫPЬ 	 сущ	jo	вин	ед	м	
, 						
~ПCOCTABЛЬШA(г) <COCTABЛЬШA(г)> &	прич	м	прош	род	ед	м
ПPЧ(с)TЫA 	прил	тв	род	ед	ж	
BЛ(Д)ЧЦA 	сущ	ja	род	ед	ж	
HШEA# 	мест	м	род	ед	ж	
Б(Д)ЦA 	 сущ	ja	род	ед	ж	
ЧE&CTHA(г) 	прил	тв	род	ед	ср	
ER 	мест	м	род	ед	ж	
BBEДEHIA 	сущ	jo	род	ед	ср	
И 	союз					
B 	пред					
HEMЪ& 	мест	м	мест	ед	м	
OБЩEЖИTИE 	сущ	jo	вин	ед	ср	
CЪCTABЛЬША(г) 	прич	м	прош	род	ед	м
.& 						
И 	союз					
БPATIЮ 	сущ	ja	вин	ед	ж	
COBOKDПЛЬ 	прич	jo	прош	им	ед	м
. 						
БЛ(с)BI 	гл	повел	2	ед	4	
W(ч) 	сущ	jo	зв	ед	м	
.& 						
